"Wave_time","State","StateFIPS","Start_Date","End_Date","N_state","Go to work","Go to the gym","Go visit a friend","Go to a cafe, bar, or restaurant","Go to a doctor or visit a hospital","Go to church or another place of worship","Take mass transit (e.g. subway, bus or train)","Avoiding contact with other people","Avoiding public or crowded places","Frequently washing hands","Wearing a face mask when outside of your home","Been in a room with someone outside of 
 household in the past 24 hours","Yes, 5-10 people","Yes, 11-50 people","Yes, 50 or more people"
"Late Apr","United States",NA,2020-04-16,2020-04-30,21405,25.71,1.36,8.31,5.78,5.54,1.29,1.82,68.77,75.23,80.36,55.96,26.27,5.17,1.42,0.83
"Late Apr","Alaska",2,2020-04-16,2020-04-30,103,28.26,3.44,16.69,1.18,4.28,5.07,0,51.31,71.37,76.71,46.17,44.03,5.44,1.39,0
"Late Apr","Alabama",1,2020-04-16,2020-04-30,465,26.31,2.61,11.48,8.44,6.96,3.23,0.42,67.99,76.28,80.84,51.94,30.52,6.7,1.22,1
"Late Apr","Arkansas",5,2020-04-16,2020-04-30,460,29.37,0.72,11.52,5.41,5.81,2.08,0.11,58.48,68.32,80.59,44.19,30.78,7.73,1.49,1
"Late Apr","Arizona",4,2020-04-16,2020-04-30,484,32.02,1.48,6.21,6,6.81,1.69,2.76,65.18,71.42,79.7,49.7,33.24,8.51,1.14,2.89
"Late Apr","California",6,2020-04-16,2020-04-30,811,25.46,1.83,6.79,8.18,7.48,0.77,1.98,75.91,78.55,80.42,72.73,20.95,3.63,1.23,1.18
"Late Apr","Colorado",8,2020-04-16,2020-04-30,470,23.76,0.11,6.14,5.54,4.06,0.57,1.11,64.23,71.81,72.36,55.87,24.53,4.36,2.43,0.63
"Late Apr","Connecticut",9,2020-04-16,2020-04-30,349,22.59,1.03,5.82,3.91,6.34,1.12,0.59,75.51,80.05,80.98,63.79,21.64,3,0,1.95
"Late Apr","District of Columbia",11,2020-04-16,2020-04-30,126,15.79,3.76,11.46,5.47,9.34,0.35,9.81,74.58,81.46,80.82,70.27,28.95,5.46,0.2,0
"Late Apr","Delaware",10,2020-04-16,2020-04-30,336,20.87,0.25,9.19,4.16,7.08,0.26,1.93,71.74,78.93,80.19,62.67,26.99,5.65,0.8,0.46
